reactions,data_type,kcat,MW,kcat_MW
LIPAHTex,DLkcat,149.5508,43538.58699999999,12365.648889799757
ACCOAC,DLkcat,147.2453,151256.96039999995,3504.5202455357557
OPMEACPS,DLkcat,147.2453,85225.74560000013,6219.75291935726
GHMT2r_reverse,DLkcat,146.4919,90632.10960000004,5818.807951481245
TMAOR2,DLkcat,146.4919,144092.2266000004,3659.953437071799
UAGAAT_reverse,DLkcat,138.603,92878.41240000002,5372.3011311937535
PROabcpp,DLkcat,137.3844,117803.62270000012,4198.3754715210425
VALTA_reverse,DLkcat,137.3844,204559.4634000001,2417.7998503685935
ARHGDx_reverse,DLkcat,137.1184,176700.9912000001,2793.5680306472427
HPPPNDO,DLkcat,129.3837,136782.54800000013,3405.2686311999364
3OAR181,DLkcat,128.5811,102240.05479999993,4527.501094414518
OXCDC,DLkcat,124.5113,242322.14360000048,1849.7718505656167
ALLabcpp,DLkcat,124.4868,,
GGGABAH,DLkcat,123.7416,56025.39140000002,7951.211921386056
PTRCt2pp_num1,DLkcat,123.7416,,
CDAPPA161,DLkcat,122.9587,,
ACGS,DLkcat,122.9587,295167.63480000023,1499.6607615869937
HXPRT_num1,DLkcat,122.3676,67881.54559999991,6489.589417952213
MNLptspp_num1,DLkcat,121.2068,,
CINNDO,DLkcat,121.0202,126993.93890000012,3430.657587076383
AHGDx,DLkcat,119.4937,176700.9912000001,2434.4929650853014
NO3R2pp_num1,DLkcat,119.4937,,
G6PDH2r,DLkcat,119.4937,55703.77830000008,7722.587823095644
PTAr_reverse_num1,DLkcat,119.4937,463027.1280000024,929.0542475515555
THDPS,DLkcat,119.4937,29891.73429999999,14391.179704818938
ADOCBLabcpp,DLkcat,119.4937,91396.2282,4706.72946216833
PTRCabcpp_num1,DLkcat,119.4937,,
FRULYSK,DLkcat,119.2611,28331.515599999995,15154.147277599228
DMQMT,DLkcat,118.2403,53110.29340000004,8014.737873769676
HISt2rpp_reverse,DLkcat,118.1923,,
PPPGO3,DLkcat,116.5111,84904.186,4940.156425267419
FOMETRi,DLkcat,115.9813,,
SDPDS,DLkcat,115.9813,82537.07140000007,5058.729040390929
2AGPEAT180,DLkcat,115.7661,,
CYSSADS_num1,DLkcat,115.4018,86467.32180000015,4804.664598736297
GLYCK,DLkcat,115.4018,,
KAS14_num2,DLkcat,115.2287,86090.56680000012,4818.45265304955
23PDE9pp,DLkcat,114.7526,,
SUCptspp,DLkcat,114.7526,,
PSD140,DLkcat,112.6707,35933.97080000004,11287.773406884371
FLVRx,DLkcat,112.144,26241.68680000001,15384.620778264903
ORNDC_num1,DLkcat,112.144,,
DMSOR1_num1,DLkcat,110.9087,,
GLUABUTt7pp,DLkcat,110.1435,55075.9979,7199.444678604726
