reactions,data_type,kcat,MW,kcat_MW
R288_num1,DLkcat,42.0757,,
R41_num1,DLkcat,42.0013,,
R34_num1,DLkcat,42.0013,,
R1340,DLkcat,41.881,,
R1611,DLkcat,40.9733,,
R1401,DLkcat,40.2347,,
R21_num1,DLkcat,40.1913,295191.07200000016,490.1526290063404
R230_num1,DLkcat,39.9766,,
R1224,DLkcat,39.8699,,
R47,DLkcat,39.7826,,
R480_num1,DLkcat,39.7826,40044.49539999999,3576.455604432465
R1505,DLkcat,39.5748,,
R1220_num1,DLkcat,39.3059,,
R327,DLkcat,39.3017,,
R350_num1,DLkcat,38.6583,,
R818_num1,DLkcat,38.4479,,
R680_num1,DLkcat,38.2747,,
R1308,DLkcat,38.0169,,
R1314,DLkcat,38.0169,,
R481,DLkcat,37.9976,,
R802,DLkcat,37.8993,,
R1359,DLkcat,37.391,,
R1109,DLkcat,37.3883,,
R1157_num1,DLkcat,37.0603,,
R449,DLkcat,36.8722,,
R36_num1,DLkcat,36.8157,410983.1840000028,322.4864791548237
R269,DLkcat,36.5023,,
R689,DLkcat,36.2487,,
R937,DLkcat,36.1479,,
R1125_num1,DLkcat,36.0168,,
R528_num1,DLkcat,35.8123,,
R31_num1,DLkcat,35.7867,,
R787,DLkcat,35.7119,,
R789_num1,DLkcat,35.7119,,
R790,DLkcat,35.7119,,
R378_num1,DLkcat,35.7119,,
R377,DLkcat,35.7119,,
R177_num1,DLkcat,35.4668,,
R180_num1,DLkcat,35.4668,,
R1445,DLkcat,35.3667,,
R253,DLkcat,35.2852,295191.07200000016,430.32033163929816
R1063,DLkcat,35.214,,
R173,DLkcat,35.1608,,
R174_num1,DLkcat,35.1608,,
R1156_num1,DLkcat,35.1372,,
R860_num1,DLkcat,34.808,,
R135,DLkcat,34.4468,,
R1358,DLkcat,34.2628,,
R227,DLkcat,34.0122,,
R1649,DLkcat,33.7822,,
R1456,DLkcat,33.7822,,
R1517,DLkcat,33.5865,,
R1606,DLkcat,33.5584,,
R354,DLkcat,33.3058,,
R395_num1,DLkcat,33.1603,,
R522,DLkcat,33.0919,,
R1575_num1,DLkcat,33.0855,,
R610_num1,DLkcat,32.9896,,
R583_num1,DLkcat,32.9896,,
R574_num1,DLkcat,32.9896,,
R592_num1,DLkcat,32.9896,,
R22_num1,DLkcat,32.9513,,
R868,DLkcat,32.8471,,
R601_num1,DLkcat,32.5967,,
R825_num1,DLkcat,32.3944,,
R660_num1,DLkcat,32.3944,,
R828_num1,DLkcat,32.2302,,
R1637_num1,DLkcat,32.1106,,
R97_num1,DLkcat,31.7004,,
R1062,DLkcat,31.6808,,
R1075,DLkcat,31.6552,,
R1073,DLkcat,31.6552,,
R637_num1,DLkcat,31.6552,,
R161_num1,DLkcat,31.6552,,
R16,DLkcat,31.3184,,
R229_num1,DLkcat,31.0537,,
R616,DLkcat,30.9693,,
R321_num1,DLkcat,30.922,,
R1535,DLkcat,30.8988,,
R1531_num1,DLkcat,30.8988,,
R1646_num1,DLkcat,30.8988,,
R1153_num1,DLkcat,30.8907,,
R757,DLkcat,30.7531,,
R1270,DLkcat,30.4484,,
R1645_num1,DLkcat,30.4484,,
R1013,DLkcat,30.4484,,
R1135,DLkcat,30.3824,,
R75_num1,DLkcat,30.2529,,
R501,DLkcat,30.0656,,
R960,DLkcat,29.948,,
R659_num1,DLkcat,29.7485,,
R807_num1,DLkcat,29.6973,,
R681_num1,DLkcat,29.5972,,
R297,DLkcat,29.547,,
R1463,DLkcat,29.3375,,
R372,DLkcat,29.2176,,
R883,DLkcat,29.0543,,
R126,DLkcat,29.0334,,
R1180_num1,DLkcat,29.0302,,
R908_num1,DLkcat,28.9795,,
R752_num1,DLkcat,28.894,,
R1447,DLkcat,28.802,,
R512_num1,DLkcat,28.6737,,
R747,DLkcat,28.4243,,
R829_num1,DLkcat,28.2998,,
R626_num1,DLkcat,28.1474,,
R346,DLkcat,27.489,,
R776_num1,DLkcat,27.4477,,
R1399,DLkcat,27.2674,100833.68430000004,973.510396664143
R101_num1,DLkcat,27.0579,,
R647_num1,DLkcat,27.0012,,
R136,DLkcat,26.9672,,
R276_num1,DLkcat,26.8822,,
R874_num1,DLkcat,26.8535,,
R1134,DLkcat,26.6952,,
R1001,DLkcat,26.6077,,
R1091,DLkcat,26.6077,,
R1087,DLkcat,26.6077,,
R1048,DLkcat,26.5512,,
R1390_num1,DLkcat,26.5406,,
R1388_num1,DLkcat,26.5406,,
R157,DLkcat,26.5015,,
R1104,DLkcat,26.4694,,
R1608,DLkcat,26.2603,,
R762_num1,DLkcat,26.0303,,
R1341,DLkcat,25.8563,,
